,cities,incidents,killed,latitude,longitude
12204,Ocean Shores,2,0,46.9595,-124.158
12202,Saint Petersburg (Saint Pete Beach),2,0,27.734,-82.74600000000002
12200,Foster,2,0,44.4209,-122.62
12199,Appalachia,2,0,36.9101,-82.7912
12198,Los Alamos,3,0,35.8773,-106.253
12197,Ruffs Dale,2,0,40.1959,-79.6575
12195,Redwood City (Woodside),3,0,37.363,-122.256
12194,Sac City,2,0,42.4202,-94.9895
12191,Sheboygan (county),2,0,43.736,-87.7286
12190,San Ramon,2,0,37.777,-121.989
12187,Cibolo,2,0,29.6002,-98.2178
12186,Holliston,2,0,42.2007,-71.4294
12185,Saltillo,3,0,34.4113,-88.7483
12183,Fort Stewart,2,0,31.8305,-81.6207
12181,Kenbridge,2,0,36.9577,-78.1292
12180,Pavilion,2,0,42.8775,-78.0072
12163,Chewelah,2,0,48.2741,-117.725
12165,Colona,2,0,41.4837,-90.3637
12167,Pinon Hills,2,0,34.4461,-117.643
12168,Peach Bottom (Fulton),2,0,39.7707,-76.2131
12169,Crimora,3,0,38.1571,-78.8393
12170,Olyphant,2,0,41.5347,-75.609
12161,Lynn Center,2,0,41.2957,-90.3342
12171,Cohutta,2,0,34.9269,-84.945
12173,Belle (Quincy),2,0,38.2039,-81.5023
12175,Medora,2,0,38.8247,-86.2412
12176,Mount Sherman,2,0,37.4397,-85.6679
12177,Jeddo (Worth Township),2,0,43.1947,-82.5955
12178,Artesian (Forestburg),2,0,44.0316,-97.9879
12179,Ebro,2,0,30.4806,-85.8436
12172,San Antonio (Terrell Hills),3,0,29.4727,-98.4572
12112,Amwell,2,0,40.0753,-80.1744
12311,Bow,2,0,43.1434,-71.5692
12313,Calico Rock,2,0,36.1457,-92.1298
12463,Matawan (Aberdeen),2,0,40.4176,-74.2411
12461,Loomis,2,0,38.8203,-121.191
12459,Shoshone,2,0,43.0205,-114.496
12457,South Webster,2,0,38.829,-82.696
12456,Stillwater (Oak Park Heights),2,0,45.0319,-92.8113
12455,Mesilla Park,2,0,32.1912,-106.697
12454,Hillsborough (county),2,0,28.0181,-82.3754
12453,Anna Maria,3,0,27.5269,-82.7368
12451,Donnelsville,2,0,39.9179,-83.9446
12450,Southmont,2,0,35.6628,-79.8517
12448,Caruthers,2,0,36.5415,-119.835
12447,College Place,2,0,46.0429,-118.389
12445,Smartsville,2,0,39.1323,-121.309
12444,Grand Ridge,2,0,30.6371,-84.9515
12464,Sutherland,2,0,41.1546,-101.155
12443,North Brookfield,2,0,42.2705,-72.0968
12432,Cowden,2,0,39.2504,-88.8576
12430,Dow,2,0,39.0127,-90.3408
12428,Port Republic,2,0,38.5,-76.5374
12426,Brackenridge,2,0,40.6098,-79.7448
12425,Heyburn,2,0,42.5766,-113.727
12424,La Junta,2,0,38.0132,-103.629
12423,Ness City,2,0,38.4457,-99.9076
12422,Docena,2,0,33.5625,-86.9314
12421,Prairie Home,2,0,38.8209,-92.6025
12419,Mansfield Center,2,0,41.7585,-72.1953
12416,Linn,2,0,38.4753,-91.8368
12414,Egg Harbor City (Egg Harbor),2,0,39.5288,-74.6472
12413,Fourmile,2,0,36.7935,-83.742
12412,West Newfield,2,0,43.6432,-70.8922
12436,Saint Louis (Creve Coeur),2,0,38.6708,-90.4424
12468,Paradise Valley,2,0,33.360896000000004,-111.963149
12469,North Bonneville,2,0,45.641704,-122.00578300000001
12470,Chicago Ridge,2,0,41.811929,-87.68732
12540,Hanson,2,0,43.668440000000004,-97.75632
12539,Wheatland,2,0,46.447745,-109.843492
12535,Hilltop,2,0,38.041292999999996,-81.064784
12533,Kwethluk,2,0,60.314735,-163.118947
12531,Moss Beach,2,0,37.52019,-122.499618
12529,Wahoo,2,0,41.197043,-96.66911400000001
12526,Hopedale,2,0,42.127515,-71.533138
12525,Engelhard,2,0,35.325223,-76.028472
12523,Vershire,2,0,43.952586,-72.311252
12522,Beavertown,2,0,40.754705,-77.169508
12521,Glen Easton,2,0,39.868737,-80.600655
12519,Corrigan,2,0,31.040793,-94.812363
12518,Cresson,2,0,40.470718,-78.58946
12517,Isaban,2,0,37.375246000000004,-81.653889
12515,Ekwok,2,0,58.962101000000004,-163.118947
12514,Hulbert,2,0,46.390752,-85.176386
12513,Shamrock,2,0,35.912399,-96.57803
12471,Bayville,2,0,44.021333,-69.523263
12473,Lagro,2,0,40.826475,-85.700909
12474,Jermyn,2,0,41.561174,-75.618764
12482,Valley Park,2,0,32.711257,-90.95271600000001
12485,Boca Grande,2,0,26.754493,-82.261149
12487,Martha,2,0,38.074113,-82.744663
12411,Dupont,2,0,47.082,-122.676
12491,Crosbyton,2,0,33.616133000000005,-101.306058
12495,Cunningham,2,0,36.398614,-87.376496
12499,Ina,2,0,38.155485,-88.819501
12501,Bordentown,2,0,40.101535,-74.724711
12505,West Coxsackie,2,0,42.397703,-73.834836
12508,Pocono Pines,2,0,41.083557,-75.515614
12509,East Brookfield,2,0,42.205311,-72.04990699999999
12492,Palacios,2,0,28.934196000000004,-96.075063
12409,Brosville,2,0,36.6194,-79.6022
12408,Glenolden (Darby Township),2,0,39.9091,-75.3009
12407,Hankinson,2,0,46.0656,-96.904
12360,Berry,2,0,38.5272,-84.2901
12359,Waldron,2,0,34.7946,-94.2071
12358,Yarmouth Port,2,0,41.7058,-70.2226
12357,Camp Douglas,2,0,43.8766,-90.277
12356,Columbus (Gahanna),2,0,40.023,-82.9025
12353,Elizaville,2,0,42.0965,-73.7995
12351,Newport (Highland Heights),2,0,39.0354,-84.4523
12350,Emmaus,3,0,40.5337,-75.4964
12349,Sellersville,2,0,40.385,-75.337
12347,Manteo,2,0,35.9171,-75.6802
12346,La Push,2,0,47.8987,-124.621
12344,Ancram,2,0,42.0233,-73.6414
12342,Woolstock,2,0,42.573,-93.8235
12341,Gig Harbor,2,0,47.3382,-122.748
12339,Calumet,2,0,41.5445,-87.4116
12338,Salome,2,0,33.6135,-113.646
12337,Wingdale,2,0,41.6629,-73.5475
12316,Reinholds,2,0,40.2666,-76.1079
12317,Peoria (West Peoria),2,0,40.7033,-89.63
12320,East Syracuse,2,0,43.0676,-76.0659
12321,Yamhill,2,0,45.3419,-123.188
12322,Los Alamos (White Rock),2,0,35.8283,-106.206
12323,Milford (Slaughter Beach),3,0,38.9159,-75.3077
12361,Harrisburg (Linglestown),2,0,40.3423,-76.7917
12325,Panama,2,0,42.0917,-79.51
12327,Fort Sill,2,0,34.6613,-98.3964
12331,Berger,2,0,38.633,-91.3231
12332,Telluride,2,0,37.9385,-107.838
12334,Cannon Falls,2,0,44.5677,-92.8241
12335,Perry Hall,2,0,39.4052,-76.4408
12336,Hornbrook,2,0,41.8989,-122.488
12326,Curwensville,2,0,40.9767,-78.5304
12312,Saint Louis (Moline Acres),2,0,38.7512,-90.2465
12363,Lashmeet,2,0,37.4454,-81.1969
12367,Blum,2,0,32.1207,-97.4381
12406,Mechanicstown,2,0,41.4437,-74.3888
12405,Lexington (Reedy Creek),2,0,35.9378,-80.352
12404,Kellogg,2,0,47.5377,-116.116
12403,Little Neck,2,0,40.7598,-73.7157
12402,Zumbrota,2,0,44.2828,-92.6664
12401,West Alexandria,2,0,39.7362,-84.5665
12400,Tracyton,2,0,47.6121,-122.655
12399,Faucett,2,0,39.5997,-94.7876
12398,Kimbolton,3,0,40.1434,-81.5463
12395,Scotland,2,0,43.1839,-97.6378
12394,Forestburgh,2,0,41.5879,-74.7551
12393,Piney Point,2,0,38.1349,-76.497
12392,Mc Bee (Mcbee),2,0,34.4019,-80.21
12391,Henning,2,0,46.3203,-95.4432
12390,Clear Lake,2,0,43.1336,-93.3397
12389,Delmar (Bethlehem),2,0,42.6224,-73.8338
12386,Jolon (Fort Hunter Liggett),2,0,36.0088,-121.237
12370,Bucksport (Verona Island),2,0,44.5705,-68.7801
12372,Smiths Creek,2,0,42.965,-82.527
12373,Orma,2,0,38.6747,-81.0656
12374,Albuquerque (Los Ranchos),2,0,35.1533,-106.639
12375,Grand (county),2,0,40.1314,-105.91
12376,Almont,2,0,42.9266,-83.0654
12364,Gate City,2,0,36.63800000000001,-82.5809
12377,Glen Campbell,2,0,40.8483,-78.8395
12379,Machiasport,2,0,44.7074,-67.4012
12380,Deadwood,2,0,44.379,-103.728
12381,Mc Sherrystown (Mcsherrystown),2,0,39.8051,-77.0166
12382,Mckeesport (Port Vue),2,0,40.3359,-79.8732
12383,Pinola,2,0,31.8808,-89.9643
12384,Selmer,2,0,35.1823,-88.6138
12378,Elverta,2,0,38.7331,-121.439
11725,Davy,2,0,37.5269,-81.6418
12111,Cheboygan,2,0,45.6095,-84.4712
12108,Asbury Park (Tinton Falls),2,0,40.2924,-74.105
11872,Anza,3,0,33.5411,-116.744
11871,Charter Twp Of Clinton,2,0,42.5596,-82.9
11868,Cranberry Township,2,0,40.7272,-80.097
11867,Oakdale (Knights Ferry),2,0,37.8554,-120.746
11866,Sandia Park,2,0,35.1597,-106.329
11863,Orick,2,0,41.2956,-124.055
11862,Pointblank,2,0,30.7482,-95.2196
11861,Howard City,2,0,43.4082,-85.052
11860,Clarks,2,0,41.1626,-97.8097
11858,Peebles,2,0,39.1425,-83.2803
11855,Braxton (county),3,0,38.6539,-80.6825
11851,Layland,2,0,37.8592,-81.0979
11850,Cerro Gordo (county),2,0,43.1498,-93.2002
11849,Feasterville Trevose,2,0,40.1534,-74.9733
11873,Ponderay,2,0,48.3009,-116.543
11848,Summerland Key (Sugarloaf Key),2,0,24.6464,-81.565
11846,Congress,2,0,32.2219,-110.972
11844,Santa Rosa Beach,4,0,30.3565,-86.1991
11842,Dighton,2,0,41.8609,-71.1792
11841,Waterford Works (Chesilhurst),2,0,39.7357,-74.8701
11840,Summit Hill,2,0,40.8345,-75.8291
11837,Brownsdale,2,0,43.7374,-92.8719
11836,Middlebourne,2,0,39.4923,-80.9004
11835,Edisto Island,3,0,32.5775,-80.2923
11833,Pennington Gap,2,0,36.7039,-83.0025
11832,Clover (Lake Wylie),2,0,35.1187,-81.0835
11830,Gateway,2,0,38.7768,-108.87
11829,Mckenzie,2,0,36.1279,-88.5262
11828,Wray,3,0,31.5848,-83.0757
11827,Glenmora (Calcasieu),2,0,31.0018,-92.6342
11847,Pleasant Lake,2,0,41.5787,-85.0341
11874,Saint Paul (Mounds View),2,0,45.1116,-93.2111
11875,Lanoka Harbor,2,0,39.8651,-74.154
11876,Hepzibah,2,0,39.3309,-80.3317
11921,High Springs,2,0,29.8232,-82.6206
11920,North Sioux City (Dakota Dunes),2,0,42.4944,-96.4905
11918,Meeteetse,2,0,44.1557,-108.869
11917,Clem,2,0,33.5282,-85.0133
11916,Marine On Saint Croix,2,0,45.2058,-92.8191
11913,Suamico,2,0,44.6551,-88.0529
11911,Leander (Jonestown),2,0,30.5112,-97.9117
11909,Porterdale,2,0,33.5752,-83.8435
11908,Ft Mitchell (Edgewood),2,0,39.0116,-84.5799
11906,Owsley (county),2,0,37.3921,-83.6142
11904,Mayetta,2,0,39.3394,-95.7255
11902,Mcgregor,2,0,46.6615,-93.2787
11901,Caputa,2,0,43.9788,-102.939
11899,Gridley,2,0,39.3343,-121.676
11898,Kemp (Seven Points),2,0,32.4335,-96.222
11897,Bernville,2,0,40.5076,-76.1347
11896,Houston (Houston Heights),2,0,29.7908,-95.3878
11877,Stamford (Glenbrook),2,0,41.0451,-73.5587
11881,Mill City,2,0,44.7564,-122.479
11882,Edwards (North Edwards),2,0,34.9877,-117.876
11883,Ponte Vedra,3,0,30.1272,-81.435
11884,Richmond (Bon Air),2,0,37.5218,-77.5536
11885,Gastonia (Ranlo),2,0,35.2819,-81.1356
11819,Warrenville (Burnettown),2,0,33.5054,-81.8427
11886,Louisville (Valley Station),2,0,38.0716,-85.8848
11888,Lakeshore,2,0,30.2419,-89.4347
11889,Hortonville (Medina),2,0,44.3341,-88.6409
11890,Sawyer,2,0,37.499,-98.6838
11891,Round Lake (Round Lake Heights),2,0,42.3812,-88.1065
11892,Tekamah,2,0,41.7828,-96.2226
11894,Archbald (Eynon),2,0,41.4954,-75.5879
11887,Davie (county),2,0,35.9043,-78.9691
11818,Columbia City,2,0,41.1693,-85.4927
11817,Puyallup (Edgewood),2,0,47.1683,-122.267
11816,Towson (Loch Raven),2,0,39.4064,-76.6444
11765,Hoopa (Weitchpec),2,0,41.1864,-123.705
11764,Somers,4,0,42.6399,-87.9011
11763,Merced County (county),2,0,37.301,-120.323
11762,Fanwood,2,0,40.6401,-74.3959
11761,Occoquan,2,0,38.6782,-77.2605
11759,Raymore,2,0,38.7982,-94.4939
11758,Concord (Boscawen),4,0,43.3238,-71.6378
11757,Jemez Springs,3,0,35.8357,-106.644
11756,Stephens City,2,0,39.09,-78.1837
11755,Saint Augustine (Saint Augustine Beach),2,0,29.8646,-81.2853
11754,Clare,3,0,43.9158,-84.76799999999999
11753,Selkirk,2,0,42.5479,-73.8147
11751,Fairdale,3,0,37.7817,-81.3629
11750,Post Mills,2,0,43.8834,-72.2612
11749,Osage,3,0,43.3403,-92.6772
11747,Vian,2,0,35.5135,-94.9683
11746,Cincinnati (Wyoming),4,0,39.1019,-84.5133
11728,Concan,2,0,29.5536,-99.7184
11729,Ossian,2,0,40.8302,-85.1111
11730,Babson Park,2,0,27.8458,-81.5385
11731,Tutwiler,2,0,34.0099,-90.4018
11732,Suncook (Allenstown),2,0,43.1281,-71.4415
11733,West Fork,2,0,35.8953,-94.1417
11766,East Brady,2,0,40.9236,-79.6633
11735,White River,2,0,43.574,-100.762
11738,Soulsbyville,2,0,37.9963,-120.261
11740,Angwin,2,0,38.5846,-122.467
11741,Zumbro Falls,2,0,44.24800000000001,-92.4306
11743,Angelus Oaks,2,0,34.2174,-116.963
11744,King George,2,0,38.2896,-77.1166
11745,Malad City,2,0,42.1831,-112.289
11736,Cleghorn,2,0,42.8127,-95.715
11923,Trevor,2,0,42.5003,-88.09100000000002
11767,Elmira (Elmira Heights),2,0,42.12,-76.8255
11772,Cordesville,2,0,33.1321,-79.8834
11815,Niantic,2,0,41.31800000000001,-72.2239
11813,Red Jacket,3,0,37.6467,-82.1405
11810,Erhard,2,0,46.485,-95.9893
11809,Plympton,2,0,42.006,-70.8033
11808,Saint Matthews (St Matthews),2,0,33.668,-80.9042
11807,Royal,2,0,43.0562,-95.2742
11806,Jewett,2,0,40.3763,-80.9949
11805,Elfin Cove,2,0,58.1842,-136.314
11804,Byars,2,0,34.9453,-96.9348
11803,Aston (Green Ridge),2,0,39.8734,-75.4317
11802,Chouteau,2,0,36.1616,-95.3298
11801,Ajo,2,0,32.3783,-112.865
11800,Pepeekeo,2,0,19.8334,-155.10399999999996
11799,Olivehurst (Arboga),2,0,39.0493,-121.552
11798,Redcrest,2,0,40.4165,-123.966
11797,Hopland,2,0,38.9712,-123.116
11796,Camptonville,2,0,39.4304,-121.076
11773,Mars Hill,2,0,35.8355,-82.5305
11774,Henrieville,2,0,37.5625,-111.995
11775,Kansas City (Northmoor),2,0,39.1795,-94.6096
11776,Westover,3,0,38.0987,-75.7224
11777,Farwell,3,0,43.8539,-84.89299999999999
11778,Pahala,2,0,19.2,-155.48
11769,Grethel,2,0,37.4528,-82.6358
11779,Marlton (Evesham),2,0,39.8873,-74.9232
11784,Freer,2,0,27.8761,-98.6217
11785,Kihei,2,0,20.7448,-156.451
11787,Cazadero,2,0,38.6623,-123.234
11788,Kiana,3,0,67.5533,-160.31799999999996
11792,Bethalto,3,0,38.8962,-90.0302
11794,Auburn (Bowman),2,0,38.9244,-121.056
11780,Merrill (Corning),2,0,45.166,-89.6959
12109,Mohican Township,2,0,40.7486,-82.1402
11924,Waterman,3,0,41.7612,-88.8046
11926,McKenzie,2,0,36.1324,-88.5188
12061,Deal,2,0,40.2529,-74.0003
12060,Grand Isle,3,0,44.7179,-73.3033
12059,Oglethorpe,2,0,32.311,-84.0926
12057,Crawfordsville (Crawfordsvlle),2,0,40.0419,-86.9
12056,Green Mountain,2,0,36.0163,-82.2905
12054,Gore Springs,2,0,33.7399,-89.5363
12053,Bunn,2,0,35.9894,-78.2477
12052,Curlew,2,0,48.918,-118.661
12051,Lydia,2,0,34.2871,-80.1103
12050,Shamokin Dam,2,0,40.8444,-76.8243
12049,Middletown (Londonderry),2,0,40.1655,-76.6818
12048,Pittsville,2,0,38.3284,-75.3821
12047,Rancho Palos Verdes,3,0,33.7623,-118.367
12046,Mosier,2,0,45.6899,-121.422
12062,Gilpin,2,0,40.6619,-79.6165
12045,Greentown,2,0,40.4818,-85.973
12040,Pima,2,0,32.8787,-109.843
12039,Ellis (county),2,0,36.2724,-99.8758
12037,Clear Spring,2,0,39.6589,-77.8883
12036,South China (China),3,0,44.4163,-69.5406
12034,Three Springs,2,0,40.2244,-77.9569
12033,Falkland,2,0,35.6981,-77.5129
12032,Lexington Township,2,0,40.9182,-81.1257
12031,Bellmont,2,0,38.3844,-87.9117
12030,Earl Township,2,0,40.0876,-76.0627
12028,Gill,2,0,42.6052,-72.5311
12026,Harrells,2,0,34.6939,-78.2196
12025,Browntown,2,0,42.5768,-89.7921
12024,Sioux (county),2,0,43.077,-96.1785
12023,Langford,2,0,45.6186,-97.7919
12042,Green Lake,2,0,43.844,-88.95700000000002
12064,Colville,2,0,48.5423,-117.9
12065,Plaquemines (county),2,0,29.8321,-90.0054
12066,Plain Township,2,0,40.8514,-81.4174
12107,East Donegal Township,2,0,40.0822,-76.5604
12106,Pequea (Martic),2,0,39.8878,-76.3213
12105,Tok (Mentasta Lake),2,0,63.3547,-143.361
12101,Fertile,2,0,47.5361,-96.2805
12099,Charlemont,2,0,42.6309,-72.8804
12098,Lordsburg,2,0,32.0316,-108.684
12097,Marlton (Evesham Twp),3,0,39.8845,-74.905
12096,Spencerport,2,0,43.2185,-77.7915
12095,Chapman,2,0,39.0747,-97.0178
12094,Heth,2,0,35.1023,-90.4669
12093,Gaines,2,0,42.9514,-83.8661
12092,Dieterich,3,0,39.0619,-88.3803
12090,Cherryhill Township,2,0,40.6078,-79.0075
12089,Green Springs,2,0,41.2567,-83.0489
12088,South Pittsburg,2,0,34.9992,-85.7366
12087,Aroostook (county),2,0,46.9352,-68.8993
12085,Lapine,2,0,31.921,-86.3582
12067,Marlette,2,0,43.3284,-83.0668
12068,Natchez (Vidalia),2,0,31.5249,-91.4101
12069,Enola,2,0,40.2945,-76.9299
12071,Walled Lake,2,0,42.5558,-83.4725
12072,Bowersville,2,0,39.5809,-83.7261
12073,Forked River (Lacey),2,0,39.8367,-74.2043
12021,Rockville Centre (Lakeview),2,0,40.6716,-73.6533
12074,Rainsville,2,0,34.5023,-85.8435
12077,Saint Leonard (St Leonard),3,0,38.4741,-76.5118
12078,Blandburg,2,0,40.6851,-78.4128
12080,Ruthven,2,0,43.1297,-94.8969
12081,Bluefield (Green Valley),2,0,37.3013,-81.1556
12083,Coos Bay (Charleston),2,0,43.3639,-124.226
12084,Kiefer,2,0,35.942,-96.0528
12076,Grass Lake,2,0,42.2493,-84.1683
12019,Eskdale,2,0,38.0913,-81.4433
12018,Chetopa,2,0,37.0434,-95.0821
12017,Tyler (Tyler Junior College),2,0,32.3342,-95.2855
11968,Sarasota (Siesta Key),2,0,27.2761,-82.5643
11966,Mohave (county),2,0,35.2611,-113.998
11965,Dothan (Rehobeth),2,0,31.1551,-85.4467
11964,Winona Lake,2,0,41.2191,-85.8144
11963,Dexter (Ripley),2,0,45.0176,-69.2956
11962,Oviedo (Chuluota),2,0,28.6185,-81.1003
11959,Tobyhanna (Coolbaugh Twp),2,0,41.1747,-75.4217
11958,Chipley (Sunny Hills),2,0,30.5422,-85.5642
11957,Solomon,2,0,38.9217,-97.3686
11956,Barberton (Norton),3,0,41.0338,-81.6088
11955,Caribou (county),2,0,42.6583,-111.591
11953,Coffman Cove,2,0,55.8808,-132.645
11952,Shelburne,2,0,44.3642,-73.2338
11950,Norcatur,2,0,39.8726,-100.198
11949,Cactus,2,0,36.0525,-101.998
11948,Wooton,2,0,37.1642,-83.3083
11947,Hartville,2,0,40.9708,-81.3602
11927,Sumiton,2,0,33.7491,-87.0495
11928,Elburn,2,0,41.8767,-88.4818
11929,Jellico,2,0,36.5799,-84.1328
11931,Sherrills Ford,2,0,35.5707,-81.0263
11934,Prairieburg,2,0,42.2384,-91.4241
11935,Espanola (Pajarito),2,0,35.9925,-106.059
11969,Wallins Creek (Wallins),2,0,36.8309,-83.4034
11937,Igo (Ono),2,0,40.4227,-122.681
11939,West Falmouth,2,0,41.5927,-70.6358
11940,Orgas,2,0,38.0584,-81.5723
11941,Coupeville,2,0,48.1977,-122.662
11943,Cincinnati (Oakley),2,0,39.1469,-84.4427
11944,Ballwin (Manchester),2,0,38.5842,-90.5106
11945,Grosse Tete,2,0,30.3713,-91.4115
11938,Hart,2,0,43.6575,-86.2382
11925,Boiling Springs (South Middleton),2,0,40.1628,-77.1401
11970,Wildwood (North Wildwood),2,0,39.0002,-74.7895
11972,Yardville,2,0,40.1854,-74.6778
12015,Plaistow,2,0,42.8445,-71.1069
12013,Cincinnati (Madeira),3,0,39.1812,-84.3698
12011,Summerland Key,2,0,24.6616,-81.4416
12010,Mc Clellandtown (Mcclellandtown),2,0,39.8627,-79.8669
12009,Pine River,2,0,46.7099,-94.3685
12008,Dayton (South Brunswick),2,0,39.9599,-74.1947
12007,Wicomico (county),2,0,38.3545,-75.5706
12005,Chesterhill,2,0,39.4892,-81.8659
12004,Franksville,2,0,42.7981,-87.9534
12003,Dundee (East Dundee),2,0,42.0788,-88.2588
12002,East Moriches,2,0,40.8057,-72.7437
12001,Mcintosh (county),2,0,35.4714,-95.5232
12000,Combined Locks,2,0,44.2728,-88.3194
11998,Monmouth (county),2,0,40.2416,-74.2739
11993,Newtown (Wrightstown),3,0,40.2666,-75.0239
11992,East Feliciana (county),2,0,30.8507,-91.0057
11990,Ecru,2,0,34.351,-89.0255
11973,Kylertown,2,0,40.9934,-78.1672
11974,Grand Rapids (East Grand Rapids),2,0,42.9519,-85.6293
11975,Hargill,2,0,26.4446,-98.0121
11977,Maramec,2,0,36.2235,-96.7022
11978,Cambridge (Cambridgeport),2,0,42.3643,-71.1075
11979,Bragg City,2,0,36.269,-89.91
11971,Warrenton (Opal),2,0,38.6279,-77.8005
11980,New Bloomfield,2,0,38.7207,-92.1058
11982,Watsonville (Pajaro),2,0,36.9035,-121.736
11983,Bay Saint Louis (Bay St Louis),2,0,30.3042,-89.3973
11985,Shasta (county),2,0,40.6176,-122.353
11986,Clarks Summit (Scott Township),2,0,41.4737,-75.6967
11988,Epsom,2,0,43.2296,-71.3539
11989,Kents Hill (Fayette),2,0,44.477,-70.0376
11981,Herington,2,0,38.6536,-97.0047
10856,Gloucester Courthouse,2,0,37.4169,-76.5342
10854,Mound Bayou,3,0,33.8809,-90.7322
10853,Cowan,2,0,35.1723,-86.0087
9715,Granville (Hebron),3,0,43.3196,-73.3849
9714,Silver Spring (Wheaton),2,0,39.0414,-77.0518
9711,Chepachet,2,0,41.9203,-71.6217
9710,Marble Falls,6,0,30.5751,-98.1354
9709,Le Roy,4,0,42.9759,-77.9831
9708,Schaghticoke,2,0,42.9203,-73.6019
9707,Lanoka Harbor (Lacey Township),2,0,39.8668,-74.1679
9705,Battle Lake,2,0,46.2812,-95.7141
9704,Union Mills,3,0,41.4929,-86.7763
9703,Sharpsville,2,0,40.3782,-86.1041
9702,Tangent,3,0,44.5822,-123.11
9700,Savage,4,0,39.156,-76.8276
9699,Moravia (Sempronius),2,0,42.7672,-76.2885
9697,Rusk (county),3,0,32.2157,-94.7109
9716,Mogadore,2,0,41.0281,-81.3202
9696,City Of Industry (West Puente Valley),2,0,34.0605,-117.984
9694,Whitmer,2,0,38.8623,-79.5589
9690,Murray (county),2,0,34.4383,-97.0498
9688,Cleveland (University Heights),3,0,41.4988,-81.5448
9685,Atmore (Canoe),2,0,31.0238,-87.4939
9684,Gurley,2,0,34.7379,-86.4303
9683,Belmont (county),3,0,40.0855,-80.9056
9682,Pend Oreille (county),2,0,48.4359,-117.317
9681,James City (county),3,0,37.3131,-76.7587
9674,Pushmataha (county),2,0,34.1783,-95.3434
9672,Bernardsville,2,0,40.7182,-74.5994
9671,Woodside,3,0,39.1633,-75.5153
9670,Fortville,2,0,39.9374,-85.8584
9668,Maury (county),2,0,35.6201,-87.0383
9667,Medina (county),3,0,29.2056,-98.8246
9695,City Of Industry (City of Industry),2,0,34.0481,-117.988
9718,Milliken,5,0,40.3293,-104.869
9720,Island Park,2,0,40.6014,-73.6568
9721,Pittsburgh (East Liberty),2,0,40.4616,-79.9185
9763,Tryon,2,0,35.27,-82.0823
9762,Opa Locka (Opa-Locka),2,0,25.8975,-80.2354
9761,Vermilion,3,0,41.4011,-82.3901
9760,Hanna City,2,0,40.7243,-89.7771
9759,Hendricks (county),2,0,39.882,-86.5434
9758,Wichita (Park City),4,0,37.7965,-97.336
9756,Cragsmoor,2,0,41.6698,-74.3855
9755,Mexico Beach,3,0,29.9484,-85.4213
9754,Ohio (county),5,0,37.6029,-86.7137
9753,Tonganoxie,2,0,39.1171,-95.0813
9752,Helena (Helena-West Helena),2,0,34.5295,-90.5982
9751,Hager City,2,0,44.5698,-92.5384
9749,Carlotta,4,0,40.5275,-123.919
9747,Sound Beach,3,0,40.9597,-72.9754
9746,Pottsville (North Manheim),2,0,40.6941,-76.1913
9745,Monroe Township (Monroe),3,0,39.6757,-74.9531
9743,Chilton (county),3,0,32.8303,-86.6521
9722,Kibler,2,0,35.4304,-94.2316
9725,Covington (Park Hills),3,0,39.0617,-84.5283
9726,Menoken,2,0,46.806,-100.553
9727,Tower City,3,0,40.5928,-76.5327
9728,Eagle (county),3,0,39.6361,-106.524
9729,New Berlin (Pittsfield),2,0,42.6242,-75.3316
9665,Io (county),2,0,32.8982,-97.0404
9730,Rainelle,2,0,37.9668,-80.7767
9733,Kershaw (county),4,0,34.5518,-80.5837
9734,Seattle (Columbia),2,0,47.6396,-122.54
9737,Orlinda,2,0,36.6135,-86.7101
9739,Belleville (Sumpter Twp),4,0,42.1052,-83.4799
9741,Sewickley,2,0,40.5284,-80.1648
9742,Sanilac (county),3,0,43.4873,-82.5943
9731,Sopchoppy,2,0,30.0605,-84.4928
9664,Phillips (Worcester),2,0,45.6915,-90.4039
9663,Robertson (county),3,0,36.4801,-86.9146
9661,Oswegatchie,2,0,44.1983,-75.0838
9593,Wharton,2,0,37.8849,-81.6644
9590,Vonore,2,0,35.5918,-84.2339
9588,Island Lake,2,0,42.2901,-88.20100000000002
9587,Jefferson (Jefferson Township),2,0,39.7464,-84.2969
9584,Sangerville,2,0,45.1652,-69.3608
9583,Bithlo,2,0,28.5547,-81.1065
9582,Central Lake,4,0,45.1082,-85.25200000000002
9580,Franklin Lakes,3,0,41.0077,-74.1959
9579,Lewiston Woodville (Lewiston),2,0,36.1132,-77.18
9578,Purchase,2,0,41.037,-73.7119
9577,Sumner (county),2,0,36.5116,-86.333
9574,Elizabethtown (White Lake),2,0,34.6539,-78.5139
9570,Roane (county),3,0,38.7896,-81.3404
9567,Valhalla,2,0,41.0678,-73.7705
9564,Rehoboth,4,0,41.8,-71.2449
9561,Little Meadows,2,0,41.9906,-76.1312
9560,Bertram,2,0,30.7486,-98.1309
9538,Excelsior (Minnetrista),2,0,44.8883,-93.5663
9539,Fluvanna (county),3,0,37.8763,-78.4071
9540,South Boston (Turbeville),2,0,36.6374,-79.0373
9541,Wilkes Barre (Ashley),3,0,41.2045,-75.8974
9542,Reedsville,2,0,40.6778,-77.61
9545,Feasterville Trevose (Feasterville-Trevose),2,0,40.1288,-74.976
9595,Murrysville,4,0,40.4803,-79.6759
9546,Arma,2,0,37.5138,-94.7588
9550,Aransas (county),2,0,28.0394,-97.0582
9551,San Jacinto (county),2,0,30.4832,-94.9921
9554,Dixie,3,0,38.2605,-81.1969
