cities,incidents,latitude,longitude
North Manchester,2,40.9991,-85.7643
Morrilton,2,35.1521,-92.7301
Leflore,2,34.5758,-93.1685
Mchenry (Holiday Hills),2,42.287,-88.2318
Gerrardstown,2,39.4087,-78.1131
Lycoming County,2,41.272,-77.1025
Fort Worth (Edgecliff Village),2,32.8319,-97.2438
Copperfield,2,29.8983,-95.6339
West Hanover,2,40.3153,-76.7494
Castile,2,42.6391,-78.051
Shiner,2,29.4578,-97.2435
Wittman,2,33.7771,-112.527
Fifty Lakes,2,46.7584,-94.0567
Maybrook,2,41.488,-74.2117
Unionville,2,31.4349,-83.5096
Pylesville,2,39.6824,-76.4638
Marengo (county),2,32.491,-87.8487
Lake Tahoe,2,39.166,-120.144
Iota,2,30.2297,-92.3814
South Daytona,2,29.1626,-81.0149
Round Lake (Hainesville),2,42.3562,-88.0691
Eagle County,2,39.6631,-106.824
Delavan,2,40.3362,-89.5083
Oxon Hill (Forest Heights),2,38.8073,-77.0024
Clarkdale,2,34.7598,-112.038
Poe,2,38.2347,-80.9362
Hughes,2,34.9484,-90.4658
Salt Springs,2,29.3939,-81.8616
Russell (county),2,32.4869,-85.0156
Prince Edward County,2,37.1983,-78.4297
Falcon,2,37.6302,-92.4474
North Weymouth,2,42.2447,-70.9554
Appanoose (county),2,40.7405,-92.8935
Clearfield (Sunset),2,41.1335,-112.034
Pitkin,2,30.8155,-92.6526
Mount Holly Township,2,40.0021,-74.7883
Headland,2,31.3246,-85.2866
Long Island,2,40.7891,-73.135
Colquitt County,2,31.2285,-83.567
Oakland City,2,38.3427,-87.3535
Carterville (Crainville),2,37.7484,-89.0585
Hopwood,2,39.8798,-79.6871
Pearcy,2,34.4079,-93.2648
Kiln,2,30.4787,-89.4365
Dakota City,2,42.7179,-94.2026
Hospers,2,43.0714,-95.9036
Coaling,2,33.1541,-87.3358
Lawrence Township (Lawrenceville),2,40.2936,-74.6835
Blades,2,38.6392,-75.5947
Kenneth City,2,27.8163,-82.7095
Saint Anne,2,41.0348,-87.7452
Cut And Shoot,2,30.3232,-95.4075
Fort Mill (Tega Cay),2,35.0373,-81.0328
Wilmar,2,33.6167,-91.9283
Melber,2,36.8828,-88.761
Saguache,2,38.1994,-106.828
Clermont ,2,28.507,-81.7527
Daytona Beach Shores,2,29.2024,-80.9963
Chiefland,2,29.5041,-82.7978
Zion Grove,2,40.8826,-76.2378
Fife Lake,2,44.5483,-85.2881
Mount Lookout,2,38.1634,-80.9022
Champaign County,2,40.1507,-88.2152
Parma Heights,2,41.3753,-81.752
Bedford (Fayetteville),2,38.8638,-86.585
Cullowhee,2,35.3052,-83.1752
Perryopolis,2,40.0887,-79.7534
Wallback,2,38.5025,-81.1415
Wheatfield ,2,43.0709,-78.9393
Oildale,2,35.4047,-119.028
Chautauqua County,2,42.2313,-79.5603
Hamblen County,2,36.1338,-83.2514
Harpersville,2,33.3289,-86.4383
Crucible,2,39.9484,-79.9652
Casar,2,35.4882,-81.6304
Roaring River,2,36.28,-80.9957
East Feliciana Parish,2,30.8622,-91.0255
Emmet,2,33.7478,-93.4782
Laclede County,2,37.6965,-92.5396
Chesterfield Township,2,42.6891,-82.8217
Edmonson County,2,37.1874,-86.2522
Weitchpec,2,41.1688,-123.727
Big Flats,2,42.1728,-76.9625
Lowndes County,2,33.4734,-88.4404
Siren,2,45.7952,-92.3817
Harrisburg (West Hanover),2,40.3191,-76.7376
Varina,2,37.4909,-77.3856
Kutztown,2,40.5261,-75.7692
Horse Creek,2,37.1021,-83.8351
Concepcion,2,27.405,-98.3776
Manorhaven,2,40.8345,-73.6954
Midlothian (Crestwood),2,41.6384,-87.7425
Bevington,2,41.3605,-93.7908
Biloxi ,2,30.3988,-89.0013
Waterfall,2,40.1277,-78.0632
Auburn ,2,32.6047,-85.6102
Vadito,2,36.128,-105.647
Cumming ,2,34.2149,-84.1017
Indian Lake,2,43.7436,-74.2486
Mullens,2,37.5836,-81.3817
Clearfield (West Point),2,41.1203,-112.089
Moreauville,2,31.0478,-91.9792
Macon (Prairie Point),2,33.1613,-88.5301
Arthur City,2,33.8712,-95.6089
Tornado,2,38.3452,-81.8477
Papago,2,33.1042,-113.139
Fleming,2,31.8645,-81.4355
Huffman,2,30.057,-95.1071
Wintersville,2,40.3747,-80.6947
Wever,2,40.7238,-91.2378
Princetown,2,42.7662,-74.0892
Tishomingo County,2,34.7069,-88.1816
Saint Croix,2,38.187,-86.5934
Deptford Township,2,39.8344,-75.1294
Roma (Falcon),2,26.6389,-99.0931
Downs,2,40.4071,-88.8533
Islamorada (Matecumbe Key),2,24.8548,-80.7313
Mooresboro,2,35.2394,-81.7615
Amory ,2,33.9846,-88.4678
Sebeka,2,46.6284,-95.0523
Bella Villa,2,38.5438,-90.285
Adelphi,2,38.989,-76.9749
Otterville,2,38.7033,-92.9948
Winsdor,2,41.8732,-72.6577
Scammon,2,37.2746,-94.8206
Lindstrom,2,45.4397,-92.8748
Black Rock,2,36.1228,-91.1793
Jefferson Davis County,2,31.54,-89.8029
Gilmer (county),2,34.692,-84.5295
Noxapater,2,32.9895,-89.0829
Solano County,2,38.3105,-121.902
Center Ossipee,2,43.7551,-71.153
Topock (Golden Shores),2,34.7672,-114.496
Hampden Township,2,40.2402,-76.9836
Scotts,2,42.1814,-85.4138
Schofield (Weston),2,44.909,-89.598
Seabeck,2,47.6455,-122.837
Blue Creek,2,38.4386,-81.4417
Pinebrook,2,40.7426,-111.565
Willow River,2,46.3194,-92.84
Bull Shoals,2,36.3793,-92.5871
Wolfe County,2,37.7898,-83.4566
Waitsburg,2,46.2713,-118.153
Mount Pleasant ,2,32.8017,-79.8892
Arizona City,2,32.75,-111.677
Oregon County,2,36.687,-91.4435
Mequon,2,43.2215,-87.9739
Edgeley,2,46.3765,-98.7138
Tazewell (county),2,37.2323,-81.4211
Coggon,2,42.2543,-91.5785
Chester Twp,2,39.8564,-75.3946
Salina ,2,43.0897,-76.1899
Tahoe City,2,39.2053,-120.202
Thomasville ,2,35.8924,-80.0575
Lillian,2,30.4117,-87.4401
Comstock,2,29.709,-101.293
North St. Paul,2,45.0156,-93.0014
Panhandle,2,35.3205,-101.447
Kinzers,2,40.0027,-76.0487
Orrington,2,44.723,-68.7988
Dundee Township,2,42.0867,-88.2758
Anderson (Chesterfield),2,40.1058,-85.5937
Cadet,2,38.0711,-90.7361
Wilmot,2,33.0623,-91.5711
Glen Lyn,2,37.3756,-80.8549
Saint Louis (St. Louis),2,38.7124,-90.2568
South Hampton,2,42.9166,-70.9972
Forks,2,47.9264,-124.396
Kootenai County (county),2,47.7105,-117.001
Dyer County,2,36.1664,-89.4409
Cave In Rock,2,37.4708,-88.1661
Earle,2,35.2638,-90.4561
Kennett Square,2,39.861,-75.6919
Toms River (Berkeley Township),2,39.9421,-74.1959
Camanche,2,41.7869,-90.2528
Madelia,2,44.0219,-94.4423
Ladera Ranch,2,33.5546,-117.646
Pittsburgh (Ben Avon),2,40.5058,-80.0761
Hallowell ,2,44.2883,-69.7988
Catawba Indian Reservation,2,34.9104,-80.8811
Cincinnati (Springdale),2,39.2942,-84.4842
Kauai,2,22.2177,-159.404
Evesham Township,2,39.8856,-74.8972
Millston,2,44.1925,-90.6494
Evansville (Darmstadt),2,38.1005,-87.571
Lyon County,2,39.6104,-119.237
Tully,2,42.8594,-76.2194
Lulu,2,30.0291,-82.5611
Surprise ,2,33.7188,-112.36
Tampa (Clair Mel City),2,27.9158,-82.3639
Ogden (South Weber),2,41.2443,-111.979
Fort Peck,2,47.9215,-106.127
Pasquotank (county),2,36.4272,-76.4078
Sorrento,2,28.8113,-81.5621
Waymart,2,41.5694,-75.381
Letcher County,2,37.1463,-82.9425
Brandon (Goshen),2,43.843,-72.9875
Covington (Ludlow),2,39.0945,-84.5456
Cedaredge (Grand Mesa),2,38.9075,-107.925
Darrow,2,30.1385,-90.9526
Yellowstone (county),2,45.8271,-108.537
Fort Lauderdale (Cooper City),2,26.1764,-80.2989
Government Camp,2,45.2442,-121.708
Barnsdall (Wolco),2,36.5573,-96.1614
Honolulu (Kalihi),2,21.3433,-157.872
Siskiyou (county),2,41.236,-122.27
Wapello,2,41.1803,-91.1934
Gays Mills,2,43.3171,-90.8472
New Rockford,2,47.6801,-99.1378
Tangipahoa (county),2,30.8749,-90.511
Moorefield,2,39.0407,-78.9749
Cedar Mountain,2,35.1671,-82.6612
Pond Creek,2,36.7243,-97.7912
Wellman,2,41.4681,-91.8636
Coden,2,30.3928,-88.1543
Drummond Island,2,45.9939,-83.7458
Delray Beach (West Delray Beach),2,26.4504,-80.1794
Eupora,2,33.5433,-89.2791
Jim Wells (county),2,27.7414,-98.0946
Lake Toxaway,2,35.1166,-82.9026
Primrose,2,42.865,-89.6705
Wilhoit,2,32.3534,-111.106
Colcord (West Siloam Springs),2,36.2642,-94.693
Huntingdon Valley,2,40.1195,-75.0672
Sanders (county),2,46.2914,-107.097
Ocheyedan,2,43.4319,-95.5682
Topmost,2,37.3362,-82.7796
Chunchula,2,31.0175,-88.0835
Follett,2,36.4207,-100.16
Battletown,2,38.105,-86.3901
Linthicum Heights,2,39.2047,-76.6476
Crossnore,2,36.0519,-81.9496
Bourg,2,29.5582,-90.6362
Eight Mile (Prichard),2,30.8331,-88.2456
Port Norris,2,39.2598,-75.0801
Forkland,2,32.6275,-87.8459
Titusville (Ewing),2,40.3096,-74.877
Santa Fe County,2,35.684,-105.941
Grove Hill,2,31.6867,-87.7871
Saint Marks,2,30.161,-84.2063
Hendry (county),2,26.7343,-80.9481
Blue Mountain,2,33.6898,-85.836
South Natomas,2,38.6225,-121.491
Brinson,2,30.8487,-84.7349
Erlanger (Elsmere),2,38.991,-84.5948
Big Springs,2,41.0635,-102.079
Monterey County,2,36.3136,-121.354
New Middletown,2,40.9642,-80.5603
Navassa,2,34.2561,-78.0042
La Rose,2,40.9823,-89.2354
Hominy,2,36.381,-96.3074
Platinum,2,58.7893,-161.482
White Pine,2,36.0964,-83.28
Humansville,2,37.7664,-93.5711
Spokane County,2,47.7152,-117.425
Reno (Stead),2,39.6286,-119.88
Victorville (Spring Valley Lake),2,34.5003,-117.262
Aguanga,2,33.4753,-116.819
Franklin Furnace,2,38.6396,-82.771
Givhans,2,33.0529,-80.3153
Aledo,2,32.72,-97.5359
Higdon,2,34.8239,-85.6164
Grants (San Mateo),2,35.156,-107.839
Spirit Lake (Edgemere),2,48.0216,-116.872
Conover,2,35.6799,-81.1747
Yoncalla,2,43.6346,-123.214
Hopewell (county),2,37.2996,-77.2822
Atchison,2,39.5719,-95.1259
Elko (county),2,41.7041,-115.154
Storey (county),2,39.3135,-119.649
Chardon (Concord Township),2,41.6314,-81.2189
Colorado Springs (Security),2,38.8337,-104.822
East Pennsboro,2,40.2638,-76.921
Portageville,2,36.4253,-89.6995
Foreman,2,33.7019,-94.3926
Middletown (Scotchtown),2,41.4644,-74.3734
Taloga,2,36.042,-98.9626
Lorain (county),2,41.3268,-82.1303
King George County,2,38.2821,-77.2364
Argillite,2,38.4738,-82.8331
Athena,2,45.7827,-118.498
Cincinnati (Deer Park),2,39.2048,-84.3934
Ballantine,2,45.9489,-108.145
Rock Spring,2,34.8164,-85.2603
West Roxbury,2,42.282,-71.1628
Mc Comb,2,41.1039,-83.746
Nottoway (county),2,37.1305,-78.0726
North Ogden,2,41.3074,-111.94
Pine Top,2,37.2845,-82.8598
Fauquier (county),2,38.607,-77.837
Tara Hills,2,37.9978,-122.312
Edgar,2,44.9071,-89.9555
Niobrara,2,42.765,-98.0206
Belding,2,43.1044,-85.2491
Jacksonville (Dinsmore),2,30.4548,-81.7599
Vermilion (county),2,29.9954,-91.9855
Harold,2,37.5346,-82.6291
Browder,2,37.1973,-87.0353
Colby,2,39.3979,-101.041
Ware Neck (Gloucester Courthouse),2,37.4001,-76.4373
Mad River,2,40.4516,-123.504
Columbus (Mansfield),2,40.0728,-74.7207
Willow Springs,2,41.7378,-87.8676
Bishopville (Mechanicsville),2,34.2182,-80.2484
Cora,2,37.838,-82.0262
San Antonio (Windcrest),2,29.5125,-98.364
Amazonia,2,39.8915,-94.9128
Anacostia,2,38.8589,-77.008
Shavertown (Jackson Township),2,41.2957,-76.0014
Converse (county),2,42.721,-105.389
Black Canyon City,2,34.0709,-112.126
Noble County,2,41.3946,-85.6534
Emory,2,32.858,-95.7636
Moran,2,43.8164,-110.28
Horntown,2,37.9791,-75.456
French Lick,2,38.5472,-86.614
Lewisberry,2,40.1646,-76.8472
Battle Mountain,2,40.6298,-116.928
Lyerly,2,34.3852,-85.3983
Lesterville,2,37.4585,-90.8427
El Indio,2,28.5144,-100.314
Pickwick,2,44.0364,-91.6462
Pearl River (county),2,32.7835,-89.2278
Meadow Bridge (Elton),2,37.859,-80.8543
Addis,2,30.3584,-91.2541
Los Alamitos,2,33.8057,-118.068
Mcintosh,2,47.6369,-95.8841
Jacks Creek,2,35.4742,-88.5209
Matthews (Weddington),2,35.034,-80.7301
Robeline,2,31.6893,-93.3023
Wardell,2,36.3537,-89.8152
Bamberg County,2,33.2779,-81.113
Saint Louis (Washington Park),2,38.625,-90.0941
Starks,2,30.3496,-93.6736
Wolf Creek (Sunny Valley),2,42.6584,-123.324
Northview Heights,2,40.4746,-80.0022
Saint Louis (Hanley Hills),2,38.6827,-90.3235
Kemp,2,32.3549,-96.2393
Booth,2,32.5219,-86.5697
McHenry (county),2,42.3626,-88.3048
Conecuh (county),2,31.4514,-86.947
Breezy Point,2,40.5594,-73.9015
Colorado Springs (Colorado Springs),2,39.098,-104.753
Westley,2,37.5483,-121.198
Turtletown,2,35.0826,-84.3152
Pandora,2,40.988,-83.9192
Merritt,2,35.0856,-76.669
Sleepy Hollow,2,42.0912,-88.2939
Calistoga,2,38.5964,-122.601
Crumpler,2,36.4743,-81.3972
Mckee,2,37.4295,-84.0097
Salem (Paddock Lake),2,42.5829,-88.0953
Farmdale,2,41.477,-80.7342
Arvonia,2,37.6731,-78.396
Council,2,44.8124,-116.407
Arden Hills,2,45.079,-93.1822
Beggs,2,35.7555,-96.075
Bryantown,2,38.5382,-76.8555
Brookshire,2,29.7891,-95.944
Wescosville,2,40.5604,-75.5679
Dubois County,2,38.4491,-86.7143
Spencer (county),2,38.1199,-85.3375
Bivalve,2,38.3064,-75.8876
Glen Morgan,2,37.764,-81.1139
Bohannon,2,37.385,-76.3515
Salton City,2,33.2177,-115.918
Kamas,2,40.7687,-111.207
Kinde,2,43.9389,-83.0022
Hamshire,2,29.8621,-94.3116
Saint Elmo,2,39.0219,-88.8461
Kempton (Albany),2,40.6319,-75.9313
Inyokern,2,35.7024,-117.869
Dacusville,2,34.9353,-82.5589
Nunnelly,2,35.8932,-87.496
D Hanis,2,29.2677,-99.2734
Yuba (county),2,39.1576,-121.557
Mount Oliver,2,40.414,-79.9872
Egg Harbor,2,45.0283,-87.2885
Tipton,2,38.6543,-92.7866
Onondaga County,2,43.0268,-76.1784
North Strabane,2,40.2559,-80.1769
Crafton Heights,2,40.4454,-80.0527
Wonder Lake,2,42.4006,-88.3404
Pemberton Township,2,39.9087,-74.5676
Morrill (county),2,41.6661,-103.102
Roe (Aberdeen),2,34.6022,-91.3569
Blackman,2,35.8753,-86.4979
South Pasadena,2,34.0989,-118.155
Jefferson County.,2,34.2264,-92.202
Haugen,2,45.6083,-91.7755
Accomac,2,37.737,-75.6501
Haddington,2,39.9618,-75.2409
Ropesville,2,33.4404,-102.149
Ladera Ranch ,2,33.5488,-117.629
Martinez (Pacheco),2,37.985,-122.07
Richfield (Venice),2,38.7798,-112.048
South Whitley,2,41.0782,-85.6287
Metamora,2,39.4092,-85.1252
Hunters,2,48.1428,-118.186
Mountain Park,2,34.7381,-98.9884
Mathiston,2,33.5402,-89.1242
Francesville,2,40.9187,-86.8887
Reno County,2,37.7438,-97.7554
Spreckels,2,36.6243,-121.647
Great Kills,2,40.5556,-74.147
Minatare,2,41.8646,-103.469
Long Beach (North Long Beach),2,33.8524,-118.194
Sebastian (Barefoot Bay),2,27.7897,-80.4784
California (Mentor),2,38.8901,-84.2487
Gordo,2,33.3186,-87.9084
Rushsylvania,2,40.4926,-83.657
Beebe Plain,2,45.0054,-72.1432
Winnebago,2,42.2084,-89.2311
Remerton,2,30.8464,-83.3084
Cade,2,30.0861,-91.904
Roscommon Township,2,44.2223,-84.7524
Ogden Canyon,2,41.2535,-111.844
Earlysville,2,38.2093,-78.4581
Derma,2,33.8554,-89.2876
Ochelata,2,36.6339,-95.9641
Jessamine County,2,37.8956,-84.5641
Alsea,2,44.3706,-123.641
Mulhall,2,36.0627,-97.4044
Pittsburg (Lafayette),2,32.9764,-94.9875
Mexia,2,31.6035,-96.4304
Moore County,2,35.1718,-79.5712
Horn Lake ,2,34.9618,-90.0782
Bonneville County,2,43.4574,-112.086
Bossier,2,32.5351,-93.688
Paint Lick,2,37.5931,-84.3266
Diamond Bar,2,34.0024,-117.816
Potter County,2,35.4044,-101.98
English Turn,2,29.8756,-89.9635
Clinton Township (Charter Twp Of Clinton),2,42.5548,-82.8911
Baileyton,2,34.2607,-86.5892
Champlain,2,44.9599,-73.3811
Mohnton,2,40.2207,-76.0259
Upper Arlington,2,40.0215,-83.0586
New Auburn,2,45.2037,-91.5729
Orlando (Edgewood),2,28.4927,-81.383
Grantsboro,2,35.1469,-76.842
Cadott,2,44.986,-91.1667
Pomeroy,2,42.5501,-94.6829
Deltona ,2,28.9199,-81.2092
New Effington,2,45.8563,-96.9204
Yolo (county),2,38.3426,-121.585
Powhatan (county),2,37.5106,-77.7907
Marin County,2,38.2454,-122.966
Loup City,2,41.2771,-98.9602
Glenside,2,40.0943,-75.1403
Horace,2,46.7455,-96.9258
East Hanover,2,40.8118,-74.3842
North Greenbush,2,42.6853,-73.6371
Van Buren ,2,35.4715,-94.2746
Omaha (Ralston),2,41.2003,-96.032
Bexley,2,39.9569,-82.9253
Bonney Lake (Lake Tapps),2,47.2479,-122.18
Hubertus,2,43.2301,-88.2406
Everglades City,2,25.8494,-81.3846
Wheelersburg,2,38.7992,-82.7657
Chambersburg (Guilford Township),2,39.9245,-77.6253
Front Royal,2,38.8522,-78.1469
East Freedom,2,40.3567,-78.4302
Clifton Township,2,41.2407,-75.5158
Altha,2,30.5595,-85.072
Falls City,2,40.0498,-95.5981
Lagrange County,2,41.6289,-85.3963
Lomira,2,43.586,-88.4405
Buhl,2,42.5911,-114.776
Milwaukee County,2,43.1774,-88.0469
Unity Township,2,40.8743,-80.5661
Dover-Foxcroft,2,45.1872,-69.2429
Kennedy Heights,2,39.1801,-84.4146
Woodbury (Deptford Township),2,39.8137,-75.1168
Orient (Darbyville),2,39.8057,-83.1522
Itasca (county),2,47.6293,-94.1325
Miami Springs ,2,25.8082,-80.2695
Galveston (county),2,29.5057,-95.0912
Clyman,2,43.3109,-88.7202
Torresdale,2,40.0557,-74.9998
Rio Rico,2,31.4674,-110.974
Mexican Hat,2,37.0904,-109.963
Penbrook,2,40.2737,-76.8605
Bastrop (county),2,30.1081,-97.5962
Pequea,2,39.896,-76.3251
Sedamsville,2,39.0904,-84.5704
Bellbrook (Beavercreek Township),2,39.6356,-84.0708
Elmore County,2,32.594,-86.1874
Harnett (county),2,35.3453,-78.7925
Mccormick,2,33.9148,-82.2919
Warrens,2,44.166,-90.5141
Grapeview,2,47.2863,-122.924
Plains Township,2,41.262,-75.8181
West Turin,2,43.5625,-75.4623
Middleburg Heights,2,41.3887,-81.8146
Glen Rose,2,32.2346,-97.7553
Kite,2,37.3096,-82.7914
Vanleer,2,36.235,-87.4458
Whitestown,2,39.9508,-86.3358
Wythe County,2,36.9484,-81.0848
Menominee,2,45.1199,-87.6177
Hopewell Township,2,39.7625,-76.6073
Twiggs County,2,32.622,-83.3661
Mont Vernon,2,42.8984,-71.7228
Churubusco,2,41.2469,-85.2648
Biglerville,2,39.9385,-77.3045
Derby Line,2,44.9888,-72.0399
Rosebud (Yankton Indian Reservation),2,43.2681,-100.737
Lockesburg,2,33.9688,-94.1908
Wallsboro,2,32.5907,-86.2111
Catlettsburg,2,38.4159,-82.5988
Malad,2,42.1875,-112.243
Dillon Beach,2,38.2454,-122.966
Bledsoe County,2,35.5635,-85.2352
Scalp Level,2,40.2542,-78.8461
Tofte,2,47.5742,-90.8351
Pryor (Sportsmen Acres),2,36.2421,-95.2523
Copan,2,36.8949,-95.9239
Upper Merion,2,40.0696,-75.3404
South Hutchinson,2,38.0254,-97.9384
Williamsburg County,2,33.6294,-79.6502
Prince Edward (county),2,37.1983,-78.4297
Carbon Hill,2,33.8886,-87.5197
Fort Atkinson,2,42.9259,-88.8395
Apopka ,2,28.7073,-81.4682
Little Valley,2,42.2539,-78.7938
Springfield (Jerome),2,39.7677,-89.6706
Colorado City,2,35.2143,-113.763
Northway,2,62.9609,-141.926
Yakima County,2,46.5436,-120.756
Madison County.,2,41.4772,-93.919
Sebago,2,43.9273,-70.7256
Cascade Township,2,42.9131,-85.5125
Hatteras Island,2,35.248,-75.5393
Huerfano (county),2,37.6325,-105.003
West Hamlin,2,38.2942,-82.2105
Talleyville,2,39.809,-75.5488
Westlake Village,2,34.1358,-118.808
North Logan,2,41.7636,-111.821
Neptune Township,2,40.2091,-74.0386
Brownsboro,2,32.3007,-95.6164
Tama,2,41.95619,-92.712756
Leoni Township,2,42.2558,-84.3117
Chippewa Falls (Eagle Point),2,44.9626,-91.345
Wapello (county),2,41.0381,-92.3387
Coeur D Alene (Post Falls),2,47.7078,-116.986
Spicer,2,45.2284,-94.9312
Tulare (county),2,36.1817,-119.006
Mount Ida,2,34.5515,-93.5811
Montauk,2,41.0719,-71.9505
Blackfeet Indian Reservation,2,48.6666,-112.918
Lavaca,2,35.351,-94.1459
Tioga (county),2,41.7138,-77.3554
Fern Park,2,28.6571,-81.3365
Unicoi County,2,36.2192,-82.337
Mount Laurel Township,2,39.9314,-74.9607
Girardville,2,40.7941,-76.2847
Red Rock Canyon National Conservation Area,2,36.194,-115.447
Weed,2,41.5501,-122.492
Cheverly,2,38.9187,-76.9163
Eddy County,2,32.3636,-104.19
Apple Grove,2,38.6577,-82.1371
Holly Grove,2,34.6043,-91.1957
Fort Worth (Everman),2,32.6262,-97.2746
Fernwood,2,31.1855,-90.4479
Bethel Park,2,40.2951,-80.0297
Linn County,2,42.1523,-91.55
Russell Cave,2,38.0705,-84.4762
Mount Olive Township,2,40.8515,-74.7329
Martin City,2,48.3911,-114.035
Tujunga,2,34.2639,-118.297
Bunkie,2,30.9485,-92.1459
Redwood,2,44.3152,-75.8733
Combs,2,37.2663,-83.2125
Miami (South Miami Heights),2,25.5883,-80.3745
Frostproof,2,27.717,-81.5811
Weakley (county),2,36.5018,-88.5235
Bangor (Veazie),2,44.8399,-68.7079
Ravia,2,34.2414,-96.7564
Columbus (Obetz),2,40.1015,-83.0127
Bangor (Hermon),2,44.7955,-68.9537
Tappahannock,2,37.904,-76.8655
Alex,2,34.9125,-97.7847
Dubach,2,32.6975,-92.6555
Radisson,2,45.7619,-91.2247
Mena,2,34.5799,-94.2483
North Coventry,2,40.2055,-75.6869
War,2,37.3041,-81.6807
Westhampton Beach,2,40.8358,-72.6465
Norristown (East Norriton),2,40.1514,-75.3222
Carbon (county),2,41.7421,-106.793
Kettle Falls,2,48.6107,-118.056
Cullman (Good Hope),2,34.1637,-86.8071
Manchaca,2,30.1371,-97.8633
Pembina,2,48.8968,-97.2407
Shaktoolik,2,64.5177,-160.479
Princewick,2,37.6735,-81.2437
East Naples,2,26.0976,-81.7701
Belle Vernon (Rostraver),2,40.2028,-79.8369
Laquey,2,37.7537,-92.2626
Chesterton (Porter),2,41.6057,-87.0549
Palo,2,42.0186,-91.7634
Leonidas,2,42.013,-85.3813
Park Hills (Desloge),2,37.8683,-90.6055
Benton (Haywood City),2,37.1621,-89.877
San Antonio (Olmos Park),2,29.4795,-98.4918
Macoupin (county),2,39.4726,-90.0147
Check,2,37.0329,-80.2255
Honokaa (Ahualoa),2,20.0684,-155.472
Sublett,2,42.3276,-113.175
Cuttingsville (Shrewsbury),2,43.5508,-72.8954
Batchelor,2,30.8675,-91.6996
Renton (Cascade),2,47.4829,-122.217
Au Sable Forks,2,44.4547,-73.7057
Orange Mound,2,35.1074,-89.9725
Stopover,2,37.5141,-82.0858
Chrisney,2,38.0148,-87.0364
Waco (Gholson),2,31.5524,-97.1382
Palms,2,34.0153,-118.414
Prentiss County,2,34.6324,-88.5179
Ada (Byng),2,34.7796,-96.6718
Lincoln Township,2,43.9298,-84.893
Pittsview,2,32.1987,-85.0321
Yuma County,2,32.6705,-114.52
Colwich,2,37.7792,-97.5364
Grenada ,2,33.7669,-89.8062
Wichita (Oaklawn),2,37.6008,-97.2871
Pamlico County,2,35.1204,-76.91
Maud,2,33.3195,-94.315
Englewood ,2,26.9345,-82.3204
Fort Sanders,2,35.9621,-83.9285
Cresskill,2,40.9416,-73.9644
Pembine,2,45.6013,-87.9941
Hayti,2,36.2302,-89.7444
Eastland,2,32.4669,-98.6632
Patterson Springs,2,35.3012,-81.5437
Canal Fulton,2,40.8766,-81.5752
Robbinsdale,2,45.0057,-93.3367
Redwood Estates,2,37.1564,-121.987
East Islip,2,40.7329,-73.1867
East Flat Rock,2,35.277,-82.4229
Burnside,2,36.974,-84.5317
Monmouth County,2,40.3004,-73.9875
Kingsbury,2,29.649,-97.8226
Geyserville,2,38.7047,-122.905
Okanogan County,2,48.536,-118.991
Wyoming County,2,37.6367,-81.6636
Chanhassen,2,44.862,-93.5323
Lewis And Clark County,2,47.2964,-112.403
Doran,2,37.0931,-81.8326
Charlotte County,2,26.8946,-81.9098
Mckees Rocks,2,40.4709,-80.0535
Wright,2,44.2911,-105.502
Merced County,2,37.3313,-120.742
Fort McCoy,2,29.3825,-81.8903
Grantsville (Skull Valley),2,40.5482,-112.742
Laingsburg,2,42.8924,-84.3546
Grayling,2,44.6742,-84.6612
Clairton (Jefferson Hills),2,40.3126,-79.9377
Breaks,2,37.296,-82.2805
Jefferson City (Wardsville),2,38.4788,-92.1782
Solvang,2,34.5881,-120.148
Frederickson,2,47.0963,-122.356
Pittsburgh (Brentwood),2,40.3806,-79.9797
Chardon,2,41.5915,-81.2245
New Waverly,2,30.5318,-95.5139
Matamoras,2,41.3637,-74.7057
Moonville,2,34.7498,-82.3932
Springs,2,40.5164,-106.866
Beach,2,46.9437,-103.983
Brooklawn,2,39.8764,-75.1184
Anaheim (Anaheim Hills),2,33.8651,-117.763
Storey County,2,39.3832,-119.637
Beckley (Sprague),2,37.7926,-81.1905
Naknek,2,58.7332,-156.858
Denali National Park,2,63.6539,-148.833
Dearborn County,2,39.1713,-84.9818
Colleton,2,32.9463,-80.8186
Holland Patent,2,43.2536,-75.2317
Palisades Park,2,40.8431,-74.0016
Conejos (county),2,37.2749,-106.006
Burgin,2,37.7535,-84.7708
Bellville,2,29.8966,-96.1879
Skagit County,2,48.4242,-121.711
Birch Tree,2,36.99,-91.4902
Rockcastle County,2,37.3743,-84.3121
Piedmont ,2,34.6803,-82.5448
Pocono,2,41.1096,-75.3921
Iron (county),2,46.0977,-88.6538
Golconda,2,40.9481,-117.486
Logan (West Logan),2,37.857,-81.9893
San Benito County,2,36.8548,-121.43
Albuquerque (Manzano),2,34.6467,-106.345
East Amherst,2,43.0356,-78.7257
Bradenton (Samoset),2,27.4669,-82.5466
Lane (county),2,44.0612,-123.151
Joint Base Elmendorf-richardson,2,61.2539,-149.683
Red Cedar,2,44.9328,-91.8695
Westernport (Mccoole),2,39.4502,-78.9767
Yalaha,2,28.7422,-81.8291
Marin (county),2,37.9715,-122.517
Spring Run,2,40.1341,-77.766
Elliottsburg,2,40.3956,-77.279
Stewartville (Pleasant Grove),2,43.8619,-92.4895
Dunellen,2,40.592,-74.4632
