cities,killed,latitude,longitude
Mc Cool (Mccool),1,33.1716,-89.4366
Center Moriches,1,40.8211,-72.784
Wake County,1,35.8032,-78.5661
Wappinger,1,41.6231,-73.8548
Lockbourne,1,39.8324,-83.0078
Chillum,1,38.9619,-76.9942
Fall Creek,1,44.8287,-91.2473
Assaria,1,38.7112,-97.568
Stansbury Park,1,40.6322,-112.304
Upshur County,1,32.6481,-94.8722
Washtucna,1,46.7746,-118.306
Viper,1,37.1809,-83.1494
Dinwiddie County,1,37.0906,-77.5146
Holley,1,43.1921,-78.0602
Munroe Falls,1,41.1486,-81.4299
Hays County,1,30.0723,-98.0321
Pierceton,1,41.1549,-85.7367
Schuyler County,1,40.1845,-90.6394
Port Penn,1,39.5177,-75.5834
Dugway,1,40.6037,-112.57
Sansom Park,1,32.7778,-97.3994
Cottage City,1,38.9425,-76.9453
Saluda County,1,33.8528,-81.6955
Wilton Manors,1,26.1626,-80.1554
Chunky,1,32.3422,-88.9263
Potrero,1,32.6326,-116.643
Bladen County,1,34.6447,-78.7852
Granville County,1,36.4269,-78.6266
Iowa Park,1,33.9443,-98.674
Traer,1,42.2071,-92.538
Moriarty,1,35.0071,-106.004
Calvin,1,34.9649,-96.2423
Davis County,1,41.073,-112.026
Bossier Parish,1,32.4264,-93.5078
Ammon,1,43.4802,-111.963
Caddo County,1,35.1017,-98.3403
Arcola,1,39.6922,-88.304
District Of Columbia,1,38.8281,-77.0032
Whitsett,1,36.0127,-79.6625
Rosemont,1,42.0075,-87.8893
Comanche,1,34.3594,-97.9667
Sumas,1,49.0001,-122.265
Wilkin County,1,46.4087,-96.5018
Lasalle County,1,41.4364,-88.9414
Falls City,1,40.0498,-95.5981
Dinosaur,1,40.2574,-108.664
Land O Lakes,1,28.2964,-82.4938
Troutville,1,37.3826,-79.8925
Republic Township,1,46.3074,-88.0407
White Swan,1,46.435,-120.845
Irondale,1,33.5032,-86.694
Pleasant Hills,1,40.3377,-79.968
Murray County,1,34.4383,-97.0498
Santa Claus,1,32.1718,-82.3342
Rabun County,1,34.8651,-83.4929
Dunklin County,1,36.5149,-90.1605
Malin,1,42.0127,-121.409
Indore,1,38.3696,-81.1754
Normandy,1,38.7139,-90.3005
Annada,1,39.2517,-90.7528
Union Hall,1,37.0168,-79.7339
Berrien County,1,31.2128,-83.2278
Fruitridge,1,38.5327,-121.45
Tehama County,1,40.0982,-122.175
Anmoore,1,39.2568,-80.2923
Hall County,1,34.3078,-83.8049
Hutto,1,30.5508,-97.5328
Mcleansville,1,36.1074,-79.6586
McKinney,1,33.1548,-96.7248
Dewitt County,1,29.1634,-97.2613
Hummelstown (South Hanover),1,40.2815,-76.7069
Harleton,1,32.6704,-94.5392
Kinnelon,1,40.9753,-74.3418
Carolina Forest,1,33.7432,-78.9334
Maui,1,20.849675,-156.165622
Necedah,1,44.0245,-90.0753
Fort Mc Coy,1,29.3667,-81.9753
Newbern,1,36.0927,-89.3045
Gaylesville,1,34.2684,-85.5569
Walkerton,1,41.4619,-86.4687
Richwood,1,40.3632,-83.2549
Rotterdam,1,42.7857,-73.9676
Del Rey,1,36.6568,-119.594
Cooper County,1,38.9492,-92.7352
Upper Lake,1,39.1646,-122.911
Wapello County,1,40.9476,-92.3332
Northville (Edinburg),1,43.2082,-74.0691
Hyndman,1,39.8463,-78.7212
Crabtree,1,35.6018,-82.9412
Sister Bay,1,45.1492,-87.1325
Helen,1,34.6981,-83.7206
Soft Shell,1,37.4023,-82.9421
Saint Marie,1,48.4023,-106.548
Jefferson Hills,1,40.3192,-79.924
Rubidoux,1,33.9959,-117.426
Shady Point,1,35.1296,-94.6573
Letart,1,38.8784,-81.9249
Frazer,1,48.0614,-106.042
Tyler County,1,30.6694,-94.3286
Williamsfield,1,41.5396,-80.6472
McAlisterville,1,40.6387,-77.2712
Locust Fork,1,33.8979,-86.628
Seven Valleys,1,39.8875,-76.7397
Carleton,1,42.0798,-83.5393
Spruce Pine,1,35.9192,-82.0757
Hub,1,31.3283,-89.3327
Reed City,1,43.8911,-85.5256
De Queen,1,34.0539,-94.3265
St Petersburg,1,27.8201,-82.6588
Mount Hood Parkdale (Parkdale),1,45.5294,-121.587
Sultana,1,36.5452,-119.341
Greenbrier,1,35.1574,-92.3739
Lower Providence,1,40.1597,-75.4084
Guilford (Parkman),1,45.0746,-69.4314
Killingly,1,41.8394,-71.8895
Webster Parish,1,32.6283,-93.3074
Batesburg (Batesburg-leesville),1,33.871,-81.5387
Lenawee County,1,41.8434,-84.0167
Walnut Park,1,33.9689,-118.222
Bunola,1,40.2383,-79.9522
Warrensville Heights,1,41.4568,-81.5388
Pinal County,1,32.8162,-111.285
Seven Springs,1,35.2037,-77.9239
Baird,1,32.3897,-99.3332
Lebanon Junction,1,37.8378,-85.737
Beresford,1,43.0804,-96.7863
Divide,1,38.9275,-105.184
Mahtomedi,1,45.0697,-92.9516
Knott County,1,37.2855,-82.9806
Little River Academy,1,30.9886,-97.3671
Watauga County,1,36.2841,-81.8828
Procious,1,38.4664,-81.1864
Glen Flora,1,45.5524,-90.8854
Island,1,37.4492,-87.1348
Pajaro,1,36.6662,-121.654
Coosa County,1,32.8898,-86.2197
Fauquier County,1,38.7706,-77.9116
Arkadelphia,1,34.2011,-93.0778
Shungnak,1,66.7152,-156.996
Jourdanton,1,28.9116,-98.5431
Arleta,1,34.2498,-118.43
Bossier City ,1,32.5322,-93.7053
Galveston County,1,29.3764,-94.8521
Lenzburg,1,38.2708,-89.8249
Escatawpa,1,30.4505,-88.541
Queen City,1,33.1515,-94.1463
Elmo,1,40.5185,-95.1151
Las Palomas,1,33.0625,-107.298
Espanola (Española),1,35.9905,-106.067
Powers Lake,1,48.5909,-102.672
Hillsdale County,1,41.7783,-84.515
De Ruyter (Deruyter),1,42.7586,-75.8316
Ronan,1,47.539,-114.12
West Marlborough,1,39.8697,-75.7669
Satsuma,1,29.5858,-81.6134
Hood County,1,32.3703,-97.6719
Pleasant Garden,1,35.9817,-79.7841
Ireland,1,38.7852,-80.4673
Ballard County,1,37.0415,-89.0698
Hayti Heights,1,36.239,-89.7708
Barnwell County,1,33.2341,-81.4125
Frederick County,1,39.192,-78.1284
Cedar Heights,1,39.7209,-75.6163
Roxie,1,31.5802,-91.0711
Mars,1,40.6991,-79.9942
Basin,1,44.3613,-108.057
Mayport,1,30.349,-81.4198
Cedar Glen,1,34.253,-117.162
Gibbon,1,40.7487,-98.8455
Orondo,1,47.7429,-120.135
Lowgap,1,36.4895,-80.8283
Walker County,1,33.8588,-87.222
Prentiss (county),1,34.6416,-88.5188
Bonsall,1,33.2889,-117.226
Elbridge,1,43.0942,-76.462
Valles Mines,1,38.0175,-90.481
Rumney,1,43.803,-71.844
Beckham County,1,35.2046,-99.9038
New Ulm,1,44.3149,-94.4525
Orleans Parish,1,30.1127,-89.8879
Cornhill,1,43.1488,-77.6148
Dalton Township,1,43.3491,-86.2565
Owen County,1,39.2888,-86.7543
Cool Ridge,1,37.6661,-81.1199
Notus,1,43.7231,-116.793
Rangely,1,40.0945,-108.729
Anderson County,1,34.5033,-82.9633
Lake Lynn,1,39.7547,-79.8676
Los Angeles County,1,34.1059,-117.842
Blackshear,1,31.2997,-82.2477
Shelton (Skokomish),1,47.3298,-123.155
Cedar Bluff,1,34.2369,-85.6064
Silver Lake,1,34.0946,-118.283
Hanover Township,1,41.2159,-75.9208
Northlake,1,41.9033,-87.8862
Ama,1,29.9447,-90.2961
Los Angeles (Highland Park),1,34.1024,-118.202
Front Royal,1,38.8522,-78.1469
Wheelersburg,1,38.7992,-82.7657
West Park,1,25.9919,-80.1845
Bernardston,1,42.6971,-72.5493
Trent Woods,1,35.0759,-77.0938
Rhodesdale,1,38.6099,-75.7059
Clay City,1,37.8747,-83.9059
North County,1,38.7504,-90.2507
Fort Lauderdale ,1,26.1329,-80.1637
Marks,1,34.1985,-90.2768
Mariners Harbor,1,40.6357,-74.1667
Neffs,1,40.0274,-80.8174
Monon,1,40.8759,-86.8776
Falun,1,38.6121,-97.703
Round Lake Beach,1,42.3737,-88.0943
La Plata County,1,37.2223,-107.856
Devol,1,34.1959,-98.5901
Tampa ,1,28.0088,-82.4121
Hanley Hills,1,38.6859,-90.3285
Hamersville,1,38.9208,-83.9873
Deckerville,1,43.4818,-82.7531
Green Oak Township,1,42.4472,-83.7704
Jansen,1,40.2095,-97.0081
Sylva,1,35.3995,-83.1533
Verdigre,1,42.6054,-98.0888
El Portal,1,25.8508,-80.1852
Lucas,1,36.8575,-86.0617
Lemmon,1,45.9408,-102.159
Bell County,1,31.0885,-97.5624
Burke County (county),1,35.6528,-81.7967
Tunnelton,1,39.3928,-79.7497
Miami-dade ,1,25.894,-80.2431
Bear Creek Township,1,41.24,-75.8644
Wartburg,1,36.0939,-84.5471
East Los Angeles,1,34.0127,-118.161
Muskingum County,1,40.0569,-81.8767
Levy,1,29.3812,-82.408
Biscayne Bay,1,25.5722,-80.2321
Yazoo County,1,32.8184,-90.3896
St. James,1,30.0922,-90.9298
Mission (Fairway),1,39.0205,-94.6398
Los Angeles (Firestone Park),1,33.9612,-118.246
Mc Leansboro,1,38.0964,-88.5314
Pearce (Sunizona),1,31.877,-109.648
Kenwood,1,38.4415,-122.538
Acme,1,48.6821,-122.172
Narvon,1,40.0963,-75.9764
Valley Glen,1,34.1759,-118.421
Taos (Valle Escondido),1,36.3699,-105.469
Nettie,1,38.25,-80.6751
Flomaton (Pollard),1,31.0002,-87.2608
Busti,1,42.0704,-79.2519
Howard Beach,1,40.6679,-73.8492
Crane Hill,1,34.0154,-87.0722
Harper Heights,1,37.804,-81.2341
Macclesfield,1,35.7521,-77.67
Saint Johns (St Johns),1,30.0573,-81.54
Ramah,1,35.1331,-108.492
Upper St. Clair,1,40.3172,-80.0683
Cannon Beach,1,45.8923,-123.96
Hazel Dell,1,45.6896,-122.652
Terlingua,1,29.3286,-103.546
Rancho Santa Margarita,1,33.6537,-117.613
Dade County,1,37.495,-93.8811
Parkman,1,45.0707,-69.4174
Wyomissing,1,40.3264,-75.9564
Minneapolis (Saint Anthony),1,45.0152,-93.2247
Englewood (Sheridan),1,39.6518,-105.033
Parlin,1,38.54,-106.657
Buena Vista Township,1,39.5528,-74.8617
Gakona (Slana),1,62.7142,-143.986
Vanduser,1,36.9932,-89.6834
Claycomo,1,39.2025,-94.4925
Marland,1,36.5632,-97.1524
Ravensdale,1,47.358,-121.979
Hamblen,1,39.2692,-86.1995
East Taunton,1,41.8847,-70.9937
Aneth,1,37.2108,-109.29
Green Pond,1,32.6332,-80.5947
Fort Worth (River Oaks),1,32.7821,-97.3973
Omaha (Benson),1,41.2988,-96.0116
Mount Olivet,1,38.4849,-84.053
Belton (Morgans Point Resort),1,31.1401,-97.4621
Oak Brook,1,41.8036,-87.9285
Sewanee,1,35.2391,-85.8897
Mission Bend,1,29.6859,-95.6485
Franklin (Carlisle),1,39.5889,-84.2915
Cuero,1,29.103,-97.285
Allison,1,42.7492,-92.8047
Pittsburgh (Dormont),1,40.3988,-80.0343
New Caney,1,30.1596,-95.1714
New Concord,1,39.9939,-81.6999
Ganado,1,35.7178,-109.568
Eustace,1,32.2318,-95.9975
Fontaine,1,36.0023,-90.8124
Rienzi,1,34.7662,-88.5281
Tallapoosa,1,32.8718,-85.9136
Kirbyville,1,30.6502,-93.8914
Blount,1,34.0145,-86.4997
Wellington (Topaz Ranch Estates),1,38.7427,-119.536
Spring Hill (Hernando Beach),1,28.4513,-82.66
Westcliffe (Silver Cliff),1,38.1394,-105.422
Barnardsville,1,35.7626,-82.402
Grand Portage,1,47.9263,-89.7295
Charles Mix (county),1,43.0557,-98.2923
Wesson,1,31.6504,-90.3761
Roma (Fronton),1,26.4118,-98.9977
Bonnieville,1,37.409,-85.8974
Lake Villa,1,42.3986,-88.1032
Rockledge (Viera),1,28.3066,-80.7282
Desert Hot Springs (Desert Edge),1,33.9253,-116.443
Gallitzin,1,40.5355,-78.5575
Sandy Creek,1,43.6586,-76.1123
Whiteside,1,34.9891,-85.4986
Newton Falls,1,41.1951,-80.978
Duck Hill,1,33.6335,-89.7115
Bradyville,1,35.72,-86.1704
Laie,1,21.628,-157.922
Rachel,1,39.5234,-80.2986
Reagan,1,35.5014,-88.3796
Leasburg,1,38.0434,-91.2698
Pleasureville,1,38.3518,-85.1107
Alstead,1,43.0781,-72.3551
Kurten,1,30.7847,-96.2652
Heltonville,1,38.9868,-86.3893
Lenawee (county),1,41.9521,-84.2068
Desoto County,1,34.8342,-90.0603
Johnson County (county),1,38.8454,-94.8521
Mcdonald County,1,36.6178,-94.3154
Blue Ridge,1,37.3791,-79.7645
Fritch,1,35.6242,-101.566
Riverside (North Riverside),1,41.8503,-87.8039
Maysel,1,38.4672,-81.1398
Lake Cormorant,1,34.8834,-90.2487
Spring Arbor Township,1,42.2253,-84.5593
Polkton,1,35.12,-80.161
Oconomowoc (Summit),1,43.0577,-88.4408
Nolensville,1,35.9476,-86.6957
Gooding,1,42.9315,-114.654
Sterlington,1,32.7014,-92.0654
Nathalie,1,37.017,-78.9304
Mathews (county),1,37.3983,-76.3074
Claiborne,1,32.0332,-91.0011
Potts Camp (Bethlehem),1,34.5833,-89.3814
Daleville (Level Plains),1,31.2704,-85.7669
Java,1,36.8899,-79.1507
Pagosa Springs,1,37.2485,-107.073
Walstonburg,1,35.6108,-77.697
Decker,1,38.5173,-87.5398
Goodridge,1,48.1349,-95.7974
Zanesfield,1,40.3406,-83.627
Niota,1,35.5862,-84.5959
Pine Ridge (Pine Ridge Reservation),1,43.2322,-102.697
Seligman,1,35.3277,-112.877
Holmes County,1,33.0898,-90.1892
Beech Mountain,1,36.211,-81.889
McKees Rocks,1,40.4668,-80.069
Whites City,1,32.1764,-104.376
Shelly,1,47.4546,-96.7987
Rickman,1,36.2976,-85.3272
Poteau,1,35.0362,-94.5581
Carlton County,1,46.5354,-92.9619
Middlesex County,1,37.7451,-76.6454
Bleckley (county),1,32.3447,-83.3036
Laguna,1,34.9929,-107.238
Bucks,1,31.0097,-88.0248
Rush Springs,1,34.7826,-97.964
Manchester Township (Manchester),1,40.0432,-74.2931
Phillipsville,1,40.2092,-123.786
Stoneham,1,42.4753,-71.1043
Cullison,1,37.6439,-98.7429
Bunch,1,35.8141,-94.6342
Pocahontas,1,36.2607,-90.9696
Johnston County,1,35.5497,-78.2436
Red River,1,36.7103,-105.41
Cape Neddick,1,43.2538,-70.6474
Losantville,1,40.0242,-85.1827
Texico,1,38.4616,-88.8575
Water View,1,37.7039,-76.6495
Orion Township,1,42.7232,-83.2928
Copiah,1,31.8604,-90.3939
Pisgah Forest,1,35.2577,-82.6737
Leivasy,1,38.1612,-80.6909
Estero ,1,26.4234,-81.793
Coulterville,1,38.1864,-89.6057
Dixiana,1,33.8954,-81.0621
Graff,1,37.2955,-92.2692
Indian Springs,1,36.5159,-115.585
Hatch,1,32.6699,-107.153
Steele (county),1,44.0802,-93.223
Boscobel,1,43.1726,-90.7299
New Plymouth,1,43.9916,-116.793
Cottage Hills,1,38.9169,-90.0919
West Monroe (Luna),1,32.3526,-92.1874
Wisconsin Rapids (Grand Rapids),1,44.3525,-89.7264
Salemburg,1,34.9812,-78.4984
Oktibbeha (county),1,33.5148,-88.918
Saint Paul (Falcon Heights),1,44.9918,-93.1702
Lowmansville,1,37.9209,-82.732
Reedy,1,38.8513,-81.3952
Port Clinton,1,41.5051,-82.9792
New Matamoras,1,39.5077,-81.0804
Mc Cool,1,33.1459,-89.4497
Owingsville,1,38.1478,-83.7129
Coward,1,33.963,-79.7336
Foss,1,35.3608,-99.1766
Newburg (Big Piney),1,37.9432,-91.8828
Nez Perce County,1,46.4182,-116.623
Gloster,1,31.1981,-91.0228
Bolivar (county),1,33.7248,-90.6647
Calumet (Laurium),1,47.2384,-88.4352
Clarks Point,1,58.8346,-157.986
Gurdon,1,33.9057,-93.1504
Ypsilanti (Augusta Township),1,42.1562,-83.6494
Rangeley,1,44.9664,-70.6455
Pickett,1,43.916,-88.6626
Stull,1,38.9711,-95.4558
Carlisle (county),1,36.8273,-88.8646
Nogal,1,33.4989,-105.69
Canyon Dam (Canyondam),1,40.1924,-121.122
Eek,1,59.8315,-162.016
Huddleston,1,37.1918,-79.4281
Chevak,1,61.5278,-165.586
Honey Brook,1,40.0969,-75.9152
Leflore (county),1,33.3827,-90.3451
Missaukee (county),1,44.2646,-84.8868
Ledbetter (Waldeck),1,30.0647,-96.7949
New Madrid,1,36.5846,-89.5325
De Valls Bluff (Devalls Bluff),1,34.7848,-91.4585
Fairmont (White Hall),1,39.4251,-80.1911
Danby (Mount Tabor),1,43.3507,-72.9805
Medicine Lodge,1,37.2921,-98.5787
Pecks Mill,1,37.9402,-81.9692
Lanesboro,1,43.6585,-91.9018
Maize,1,37.7547,-97.4448
Cable,1,40.1664,-83.5952
Modoc (county),1,41.4565,-120.629
Brady,1,41.0298,-100.457
Hyattsville (Lewisdale),1,38.9725,-76.9776
Montgomery City,1,38.9764,-91.5141
Tell City,1,37.9584,-86.7645
Miami (Palmetto Bay),1,25.7609,-80.4209
Screven,1,31.5421,-82.1226
Bob White,1,37.95,-81.7139
Epps,1,32.5991,-91.4805
Woodhaven,1,40.6934,-73.8481
Bullard (Mount Selman),1,32.0723,-95.3277
Barnesville (Somerton),1,39.9883,-81.1772
Many (Sabine),1,31.5235,-93.5497
Grenada (county),1,33.7766,-89.7433
Broseley,1,36.6941,-90.2817
Antreville (county),1,34.1932,-82.4099
Tawas City,1,44.2773,-83.5069
Sabillasville,1,39.6621,-77.4402
Lees Summit (Lee's Summit),1,38.905,-94.3454
Orlando (Hiawassee),1,28.5761,-81.4421
Glorieta,1,35.5694,-105.757
Jamison,1,40.2651,-75.0834
Ekuk,1,58.8122,-158.561
Polebridge,1,48.841,-114.362
Dillonvale,1,40.1967,-80.804
South County,1,39.0931,-93.5456
Cochran,1,32.3875,-83.3512
Normandy Park,1,47.4389,-122.353
Clinton (Kirkland),1,43.0197,-75.3845
Mayes (county),1,36.1922,-95.3419
Oakmont,1,40.5131,-79.8426
Sylvania Township,1,41.6664,-83.7143
Richland Parish,1,32.3887,-91.7928
Skipperville,1,31.5577,-85.5455
Kittrell,1,36.1751,-78.4247
Alna,1,44.0791,-69.6393
Lincoln Parish,1,32.5536,-92.6955
Mount Jackson,1,38.8469,-78.7056
Novelty,1,40.0055,-92.1279
New Haven (Lenox),1,42.7799,-82.7529
King And Queen (county),1,37.8818,-77.1014
Blue Lake,1,40.8893,-123.792
Mccurtain (county),1,34.044,-94.7467
Maryvale,1,33.4718,-112.174
Rusk County,1,32.1613,-94.9282
Elyria (Sheffield Village),1,41.4244,-82.0739
Hardinsburg,1,38.457,-86.2749
Clarklake,1,42.1481,-84.3259
O'brien,1,42.0451,-123.719
Larue,1,32.0738,-95.5925
Mashantucket,1,41.4574,-71.9747
Decatur (county),1,39.7758,-100.46
Oakman,1,33.7289,-87.3499
Christopher,1,37.9736,-89.0538
Mannford,1,36.1215,-96.357
Wetumka,1,35.1739,-96.2301
Saint Amant,1,30.2407,-90.8493
Hooper,1,37.7474,-105.886
El Paso (Socorro),1,31.65,-106.292
Van Horn,1,31.0433,-104.827
Leachville,1,35.9892,-90.1583
Perkasie,1,40.3711,-75.2906
Hanoverton,1,40.7559,-80.9628
Hammon,1,35.6328,-99.3769
Elyria (Ridgeville),1,41.3689,-82.0188
Ivanof Bay,1,55.9105,-159.492
Papaaloa,1,19.9186,-155.197
Corvallis (Adair Village),1,44.6841,-123.218
Brush Prairie,1,45.7339,-122.496
San Antonio (Windcrest),1,29.5125,-98.364
Cora,1,37.838,-82.0262
Bishopville (Mechanicsville),1,34.2182,-80.2484
Willow Springs,1,41.7378,-87.8676
Columbus (Mansfield),1,40.0728,-74.7207
Canyon Country,1,34.41,-118.458
Ware Neck (Gloucester Courthouse),1,37.4001,-76.4373
Colby,1,39.3979,-101.041
Browder,1,37.1973,-87.0353
Harold,1,37.5346,-82.6291
Vermilion (county),1,29.9954,-91.9855
Jacksonville (Dinsmore),1,30.4548,-81.7599
Belding,1,43.1044,-85.2491
Niobrara,1,42.765,-98.0206
Edgar,1,44.9071,-89.9555
Amazonia,1,39.8915,-94.9128
Tara Hills,1,37.9978,-122.312
Anacostia,1,38.8589,-77.008
Converse (county),1,42.721,-105.389
Addis,1,30.3584,-91.2541
Meadow Bridge (Elton),1,37.859,-80.8543
Pearl River (county),1,32.7835,-89.2278
Pickwick,1,44.0364,-91.6462
El Indio,1,28.5144,-100.314
Lesterville,1,37.4585,-90.8427
Lyerly,1,34.3852,-85.3983
Battle Mountain,1,40.6298,-116.928
Lewisberry,1,40.1646,-76.8472
French Lick,1,38.5472,-86.614
Horntown,1,37.9791,-75.456
Moran,1,43.8164,-110.28
Emory,1,32.858,-95.7636
Noble County,1,41.3946,-85.6534
Black Canyon City,1,34.0709,-112.126
Shavertown (Jackson Township),1,41.2957,-76.0014
Los Alamitos,1,33.8057,-118.068
Fauquier (county),1,38.607,-77.837
North Ogden,1,41.3074,-111.94
Hopewell (county),1,37.2996,-77.2822
Yoncalla,1,43.6346,-123.214
Conover,1,35.6799,-81.1747
Spirit Lake (Edgemere),1,48.0216,-116.872
Grants (San Mateo),1,35.156,-107.839
Higdon,1,34.8239,-85.6164
Aledo,1,32.72,-97.5359
Givhans,1,33.0529,-80.3153
Franklin Furnace,1,38.6396,-82.771
Aguanga,1,33.4753,-116.819
Victorville (Spring Valley Lake),1,34.5003,-117.262
Reno (Stead),1,39.6286,-119.88
Spokane County,1,47.7152,-117.425
Humansville,1,37.7664,-93.5711
White Pine,1,36.0964,-83.28
Atchison,1,39.5719,-95.1259
Pine Top,1,37.2845,-82.8598
Elko (county),1,41.7041,-115.154
Chardon (Concord Township),1,41.6314,-81.2189
Nottoway (county),1,37.1305,-78.0726
Mc Comb,1,41.1039,-83.746
West Roxbury,1,42.282,-71.1628
Rock Spring,1,34.8164,-85.2603
Ballantine,1,45.9489,-108.145
Cincinnati (Deer Park),1,39.2048,-84.3934
Athena,1,45.7827,-118.498
Argillite,1,38.4738,-82.8331
King George County,1,38.2821,-77.2364
Lorain (county),1,41.3268,-82.1303
Taloga,1,36.042,-98.9626
Middletown (Scotchtown),1,41.4644,-74.3734
Foreman,1,33.7019,-94.3926
Portageville,1,36.4253,-89.6995
Colorado Springs (Security),1,38.8337,-104.822
Storey (county),1,39.3135,-119.649
Platinum,1,58.7893,-161.482
Mcintosh,1,47.6369,-95.8841
Matthews (Weddington),1,35.034,-80.7301
Rushsylvania,1,40.4926,-83.657
California (Mentor),1,38.8901,-84.2487
Sebastian (Barefoot Bay),1,27.7897,-80.4784
Long Beach (North Long Beach),1,33.8524,-118.194
Spreckels,1,36.6243,-121.647
Francesville,1,40.9187,-86.8887
Mathiston,1,33.5402,-89.1242
Hunters,1,48.1428,-118.186
South Whitley,1,41.0782,-85.6287
Richfield (Venice),1,38.7798,-112.048
Martinez (Pacheco),1,37.985,-122.07
Morrill (county),1,41.6661,-103.102
North Strabane,1,40.2559,-80.1769
Tipton,1,38.6543,-92.7866
Yuba (county),1,39.1576,-121.557
Winnebago,1,42.2084,-89.2311
D Hanis,1,29.2677,-99.2734
Roscommon Township,1,44.2223,-84.7524
Alsea,1,44.3706,-123.641
Bonney Lake (Lake Tapps),1,47.2479,-122.18
Marin County,1,38.2454,-122.966
Powhatan (county),1,37.5106,-77.7907
Yolo (county),1,38.3426,-121.585
Pomeroy,1,42.5501,-94.6829
Cadott,1,44.986,-91.1667
Orlando (Edgewood),1,28.4927,-81.383
Mohnton,1,40.2207,-76.0259
Champlain,1,44.9599,-73.3811
Baileyton,1,34.2607,-86.5892
Clinton Township (Charter Twp Of Clinton),1,42.5548,-82.8911
Paint Lick,1,37.5931,-84.3266
Mexia,1,31.6035,-96.4304
Pittsburg (Lafayette),1,32.9764,-94.9875
Mulhall,1,36.0627,-97.4044
Ochelata,1,36.6339,-95.9641
Jacks Creek,1,35.4742,-88.5209
Dacusville,1,34.9353,-82.5589
Kempton (Albany),1,40.6319,-75.9313
Westley,1,37.5483,-121.198
Colorado Springs (Colorado Springs),1,39.098,-104.753
Breezy Point,1,40.5594,-73.9015
Conecuh (county),1,31.4514,-86.947
McHenry (county),1,42.3626,-88.3048
Booth,1,32.5219,-86.5697
Kemp,1,32.3549,-96.2393
Saint Louis (Hanley Hills),1,38.6827,-90.3235
Northview Heights,1,40.4746,-80.0022
Wolf Creek (Sunny Valley),1,42.6584,-123.324
Starks,1,30.3496,-93.6736
Saint Louis (Washington Park),1,38.625,-90.0941
Bamberg County,1,33.2779,-81.113
Wardell,1,36.3537,-89.8152
Robeline,1,31.6893,-93.3023
Turtletown,1,35.0826,-84.3152
Inyokern,1,35.7024,-117.869
Pandora,1,40.988,-83.9192
Sleepy Hollow,1,42.0912,-88.2939
Saint Elmo,1,39.0219,-88.8461
Hamshire,1,29.8621,-94.3116
Salton City,1,33.2177,-115.918
Bohannon,1,37.385,-76.3515
Spencer (county),1,38.1199,-85.3375
Brookshire,1,29.7891,-95.944
Beggs,1,35.7555,-96.075
Arden Hills,1,45.079,-93.1822
Council,1,44.8124,-116.407
Arvonia,1,37.6731,-78.396
Farmdale,1,41.477,-80.7342
Salem (Paddock Lake),1,42.5829,-88.0953
Mckee,1,37.4295,-84.0097
Crumpler,1,36.4743,-81.3972
Calistoga,1,38.5964,-122.601
Merritt,1,35.0856,-76.669
Chambersburg (Guilford Township),1,39.9245,-77.6253
Hominy,1,36.381,-96.3074
Monterey County,1,36.3136,-121.354
Macon (Prairie Point),1,33.1613,-88.5301
Moreauville,1,31.0478,-91.9792
Clearfield (West Point),1,41.1203,-112.089
Vadito,1,36.128,-105.647
Midlothian (Crestwood),1,41.6384,-87.7425
Concepcion,1,27.405,-98.3776
Kutztown,1,40.5261,-75.7692
Big Flats,1,42.1728,-76.9625
Emmet,1,33.7478,-93.4782
Roaring River,1,36.28,-80.9957
Casar,1,35.4882,-81.6304
Crucible,1,39.9484,-79.9652
Wallback,1,38.5025,-81.1415
Perryopolis,1,40.0887,-79.7534
Cullowhee,1,35.3052,-83.1752
Fleming,1,31.8645,-81.4355
Bedford (Fayetteville),1,38.8638,-86.585
Wever,1,40.7238,-91.2378
Islamorada (Matecumbe Key),1,24.8548,-80.7313
Tazewell (county),1,37.2323,-81.4211
Edgeley,1,46.3765,-98.7138
Waitsburg,1,46.2713,-118.153
Bull Shoals,1,36.3793,-92.5871
Seabeck,1,47.6455,-122.837
Schofield (Weston),1,44.909,-89.598
Scotts,1,42.1814,-85.4138
Topock (Golden Shores),1,34.7672,-114.496
Noxapater,1,32.9895,-89.0829
Gilmer (county),1,34.692,-84.5295
Black Rock,1,36.1228,-91.1793
Lindstrom,1,45.4397,-92.8748
Scammon,1,37.2746,-94.8206
Otterville,1,38.7033,-92.9948
Sebeka,1,46.6284,-95.0523
Saint Croix,1,38.187,-86.5934
Coggon,1,42.2543,-91.5785
Parma Heights,1,41.3753,-81.752
Zion Grove,1,40.8826,-76.2378
Shiner,1,29.4578,-97.2435
Fort Worth (Edgecliff Village),1,32.8319,-97.2438
Gerrardstown,1,39.4087,-78.1131
Mchenry (Holiday Hills),1,42.287,-88.2318
Morrilton,1,35.1521,-92.7301
North Manchester,1,40.9991,-85.7643
Carlock,1,40.5786,-89.1365
Mendocino,1,39.3446,-123.776
Hyattsville (Langley Park),1,38.9928,-76.9845
Franklin (Union),1,35.183,-83.3826
Hidden Valley Lake,1,38.8003,-122.564
Stewartstown,1,39.755,-76.5842
Drumright,1,35.9869,-96.6114
Maytown,1,40.0748,-76.5815
Mesopotamia,1,41.4586,-80.9785
Maybrook,1,41.488,-74.2117
Fife Lake,1,44.5483,-85.2881
Marengo (county),1,32.491,-87.8487
